member,experiment_number,experiment_name,tag,policy,learning_rate,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,timesteps,buffer_size,seed,mean_reward_last20,mean_episode_len_last20,total_episodes,model_path,best_model_path,log_path
1,1,baseline,M1_E01_baseline,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.1,100000,30000,42,2.45,28.9,5795,models/M1_E01_baseline/dqn_model.zip,best/M1_E01_baseline/best_model.zip,logs/M1_E01_baseline
1,2,high_lr,M1_E02_high_lr,CnnPolicy,0.001,0.99,32,1.0,0.01,0.1,100000,30000,42,2.45,26.1,5534,models/M1_E02_high_lr/dqn_model.zip,best/M1_E02_high_lr/best_model.zip,logs/M1_E02_high_lr
1,3,low_lr,M1_E03_low_lr,CnnPolicy,5e-05,0.99,32,1.0,0.01,0.1,100000,30000,42,2.2,26.25,6485,models/M1_E03_low_lr/dqn_model.zip,best/M1_E03_low_lr/best_model.zip,logs/M1_E03_low_lr
1,4,gamma_95,M1_E04_gamma_95,CnnPolicy,0.0001,0.95,32,1.0,0.01,0.1,100000,30000,42,2.45,27.65,5857,models/M1_E04_gamma_95/dqn_model.zip,best/M1_E04_gamma_95/best_model.zip,logs/M1_E04_gamma_95
1,5,gamma_999,M1_E05_gamma_999,CnnPolicy,0.0001,0.999,32,1.0,0.01,0.1,100000,30000,42,1.75,22.3,5763,models/M1_E05_gamma_999/dqn_model.zip,best/M1_E05_gamma_999/best_model.zip,logs/M1_E05_gamma_999
1,6,batch_64,M1_E06_batch_64,CnnPolicy,0.0001,0.99,64,1.0,0.01,0.1,100000,30000,42,2.45,27.0,5745,models/M1_E06_batch_64/dqn_model.zip,best/M1_E06_batch_64/best_model.zip,logs/M1_E06_batch_64
1,7,batch_16,M1_E07_batch_16,CnnPolicy,0.0001,0.99,16,1.0,0.01,0.1,100000,30000,42,2.1,25.15,6210,models/M1_E07_batch_16/dqn_model.zip,best/M1_E07_batch_16/best_model.zip,logs/M1_E07_batch_16
1,8,eps_end_05,M1_E08_eps_end_05,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,100000,30000,42,2.0,22.65,5934,models/M1_E08_eps_end_05/dqn_model.zip,best/M1_E08_eps_end_05/best_model.zip,logs/M1_E08_eps_end_05
1,9,slow_decay,M1_E09_slow_decay,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.2,100000,30000,42,2.25,25.0,5992,models/M1_E09_slow_decay/dqn_model.zip,best/M1_E09_slow_decay/best_model.zip,logs/M1_E09_slow_decay
1,10,mlp_policy,M1_E10_mlp_policy,MlpPolicy,0.0001,0.99,32,1.0,0.01,0.1,100000,30000,42,0.7,9.7,9325,models/M1_E10_mlp_policy/dqn_model.zip,best/M1_E10_mlp_policy/best_model.zip,logs/M1_E10_mlp_policy
